时间,店名,产品,个数
2022/6/2,草堂店（直营店）,一次性布丁杯110ml(含平盖）2000套,3
2022/6/2,草堂店（直营店）,蜀大侠复合调味粉100g*90(升级版),2
2022/6/2,草堂店（直营店）,蜀大侠复合调味粉60g*150(升级版),2
2022/6/2,草堂店（直营店）,深海小海带海带苗10kg,1
2022/6/2,草堂店（直营店）,一次性塑料布丁杯200ml(含拱盖)1400套,2
2022/6/2,草堂店（直营店）,蜀大侠菌汤膏135g*74,2
2022/6/2,草堂店（直营店）,蜀大侠复合调味粉120g*75(升级版),1
2022/6/2,草堂店（直营店）,蜀大侠牛油火锅底料1kg*14(太极锅升级版),5
2022/6/5,草堂店（直营店）,洁劲洗洁精10kg*2,1
2022/6/5,草堂店（直营店）,元宝牌特选珍珠米25kg,6
2022/6/5,草堂店（直营店）,探川椒麻包26g*200,4
2022/6/5,草堂店（直营店）,模拟蟹柳500g*20,3
2022/6/5,草堂店（直营店）,深海小海带海带苗10kg,2
2022/6/5,草堂店（直营店）,蜀大侠牛油火锅底料1kg*14(太极锅升级版),25
2022/6/9,草堂店（直营店）,元宝大豆油10L*2,3
2022/6/9,草堂店（直营店）,天味中式香肠85g*50,1
2022/6/9,草堂店（直营店）,八奇牛麻辣牛肉1.2kg*10,5
2022/6/9,草堂店（直营店）,自然馋严选千层肚1kg*10,2
2022/6/9,草堂店（直营店）,元宝牌特选长粒香25kg,4
2022/6/9,草堂店（直营店）,自然馋*美好川味小酥肉1kg*10,5
2022/6/9,草堂店（直营店）,外卖锅（玻璃盖燃料版）配漏勺&灭火盖,5
2022/6/9,草堂店（直营店）,美好火腿肠170g*30,3
2022/6/9,草堂店（直营店）,三头燃油,5
2022/6/9,草堂店（直营店）,一次性独立包装火锅筷32cm-1400双,2
2022/6/9,草堂店（直营店）,蜀大侠食用植物调和油65ml*200,6
2022/6/9,草堂店（直营店）,爆爆滑大颗粒虾滑1kg*12(鲜美来),4
2022/6/9,草堂店（直营店）,探川鸭肠腌制料(调味料升级版)260g*40,1
2022/6/9,草堂店（直营店）,八奇牛蓝标肥牛3.572*7,3
2022/6/9,草堂店（直营店）,自然馋黑土猪火锅午餐肉340g*24,2
2022/6/9,草堂店（直营店）,蜀大侠复合调味粉60g*150(升级版),3
2022/6/9,草堂店（直营店）,捞品荟高钙羔羊肉砖(3.575kg*7),1
2022/6/9,草堂店（直营店）,蜀大侠盒装纸巾(250盒),2
2022/6/9,草堂店（直营店）,蜀大侠侠客打锅牛油50g*132,4
2022/6/9,草堂店（直营店）,模拟蟹柳500g*20,5
2022/6/9,草堂店（直营店）,珍宝大卷纸,2
2022/6/9,草堂店（直营店）,探川椒麻包26g*200,5
2022/6/9,草堂店（直营店）,蜀大侠番茄汤膏300g*50(漫味龙),4
2022/6/9,草堂店（直营店）,蜀大侠菌汤膏135g*74,3
2022/6/9,草堂店（直营店）,蜀大侠牛油火锅底料1kg*14(太极锅升级版),30
2022/6/9,草堂店（直营店）,深海小海带海带苗10kg,3
2022/6/7,草堂店（直营店）,自然馋*美好川味小酥肉1kg*10,3
2022/6/7,草堂店（直营店）,洋风椰蓉抹茶大福500g*10,1
2022/6/7,草堂店（直营店）,千喜鹤猪脑花(96个),1
2022/6/7,草堂店（直营店）,蜀大侠牛油火锅底料600g*30(升级版),1
2022/6/7,草堂店（直营店）,白酒,1
2022/6/7,草堂店（直营店）,八奇牛蓝标肥牛3.572*7,1
2022/6/7,草堂店（直营店）,洁劲洗洁精10kg*2,2
2022/6/7,草堂店（直营店）,蜀大侠牛油火锅底料1.9kg*9(大红锅升级版),4
2022/6/7,草堂店（直营店）,爆爆滑大颗粒虾滑1kg*12(鲜美来),1
2022/6/7,草堂店（直营店）,大侠贡菜肉滑1kg*10,1
2022/6/7,草堂店（直营店）,泉润脱骨鸭掌2kg*6,1
2022/6/7,草堂店（直营店）,黄天鹅高品质鸡蛋30个,3
2022/6/7,草堂店（直营店）,蜀大侠牛油无渣火锅底料1.75kg*9(升级版),1
2022/6/7,草堂店（直营店）,模拟蟹柳500g*20,1
2022/6/9,草堂店（直营店）,自然馋土豆宽粉180g*50,6
2022/6/9,草堂店（直营店）,自然馋火锅川粉180g*50,3
2022/6/9,草堂店（直营店）,自然馋贡菜5kg,3
2022/6/9,草堂店（直营店）,醪糟606g*12,2
2022/6/9,草堂店（直营店）,自然馋牛奶鸭血300g*20,6
2022/6/9,草堂店（直营店）,自然馋手工糍粑280g*20,1
2022/6/9,草堂店（直营店）,2021年短袖厨师服S(含围裙),1
2022/6/9,草堂店（直营店）,红色Polo文化衫M,2
2022/6/15,草堂店（直营店）,自然馋手工糍粑280g*20,3
2022/6/13,草堂店（直营店）,蜀大侠一次性纸杯,1
2022/6/13,草堂店（直营店）,加长胶手套(统采),4
2022/6/13,草堂店（直营店）,一次性胶手套-50双(统采),3
2022/6/14,草堂店（直营店）,探川泰式风味蘸料500g*20,1
2022/6/14,草堂店（直营店）,千禾陈醋5L*2,2
2022/6/14,草堂店（直营店）,蜀大侠牛油无渣火锅底料1.75kg*9(升级版),2
2022/6/14,草堂店（直营店）,黄天鹅高品质鸡蛋30个,3
2022/6/14,草堂店（直营店）,散片纸10kg(统采),2
2022/6/16,草堂店（直营店）,1250ml圆形打包盒-200个(统采),2
2022/6/16,草堂店（直营店）,牛奶味布丁粉1kg,2
2022/6/16,草堂店（直营店）,蜀大侠食用植物调和油65ml*200,6
2022/6/16,草堂店（直营店）,菊乐纯牛奶250ml*24,3
2022/6/16,草堂店（直营店）,自然馋火锅川粉180g*50,3
2022/6/16,草堂店（直营店）,芒果味布丁粉1kg,2
2022/6/16,草堂店（直营店）,笋胡子清水笋片1kg*10,2
2022/6/16,草堂店（直营店）,酒碗-密胺,1
2022/6/16,草堂店（直营店）,珍宝大卷纸,2
2022/6/16,草堂店（直营店）,浦元家红豆龙珠850g,5
2022/6/16,草堂店（直营店）,开心牛肉小卡片-500个,1
2022/6/16,草堂店（直营店）,蜀大侠手工底料420g*20(中辣),2
2022/6/18,草堂店（直营店）,蜀大侠火锅菜底料1kg*20,2
2022/6/18,草堂店（直营店）,蜀大侠牛油火锅底料600g*30(升级版),1
2022/6/18,草堂店（直营店）,蜀大侠侠客打锅牛油100g*96,2
2022/6/18,草堂店（直营店）,元宝牌特选长粒香米25kg,2
2022/6/18,草堂店（直营店）,蜀大侠复合调味粉60g*150(升级版),1
2022/6/18,草堂店（直营店）,蜀大侠复合调味粉100g*90(升级版),1
2022/6/18,草堂店（直营店）,自然馋土豆宽粉180g*50,4
2022/6/18,草堂店（直营店）,蜀大侠定制包装底料750g*22(外卖升级版),1
2022/6/18,草堂店（直营店）,元宝大豆油10L*2,3
2022/6/18,草堂店（直营店）,蜀大侠菌汤膏135g*74,2
2022/6/18,草堂店（直营店）,洁劲洗洁精10kg*2,2
2022/6/18,草堂店（直营店）,蜀大侠复合调味粉120g*75(升级版),2
2022/6/18,草堂店（直营店）,自然馋牛奶鸭血300g*20,2
2022/6/18,草堂店（直营店）,蜀大侠无糖薄荷糖2.5kg(陈皮味),4
2022/6/18,草堂店（直营店）,自然馋黑土猪火锅午餐肉340g*24,2
2022/6/18,草堂店（直营店）,美好火腿肠170g*30,2
2022/6/18,草堂店（直营店）,蜀大侠牛油无渣火锅底料1.75kg*9(升级版),2
2022/6/18,草堂店（直营店）,全木浆擦手纸(188-190mm)-24包,2
2022/6/18,草堂店（直营店）,蜀大侠牛油火锅底料1.65kg*10(中锅升级版),2
2022/6/18,草堂店（直营店）,蜀大侠牛油火锅底料1.9kg*9(大红锅升级版),8
2022/6/18,草堂店（直营店）,蜀大侠番茄汤膏300g*50(漫味龙),2
2022/6/14,草堂店（直营店）,水牛脆毛肚2.5kg*4,2
2022/6/14,草堂店（直营店）,八奇牛蓝标肥牛3.572*7,3
2022/6/14,草堂店（直营店）,自然馋标品牛肉(签签牛肉)1.2kg*8,1
2022/6/14,草堂店（直营店）,卤肥肠1kg*10,1
2022/6/14,草堂店（直营店）,自然馋嫩滑猪肝(椒麻味)1kg*10,1
2022/6/14,草堂店（直营店）,大侠贡菜肉滑1kg*10,2
2022/6/14,草堂店（直营店）,泉润脱骨鸭掌2kg*6,2
2022/6/14,草堂店（直营店）,自然馋*美好川味小酥肉1kg*10,4
2022/6/14,草堂店（直营店）,模拟蟹柳500g*20,3
2022/6/14,草堂店（直营店）,爆爆滑海鸭蛋虾滑160g*36(鲜美来),1
